player,pos,team,rebounds,assists,steals,blocks,points
Alex Poythress,PF,PHI,29,5,3,2,64
Ronnie Price,PG,PHO,11,18,11,1,14
Tim Quarterman,SG,POR,14,11,2,3,31
Chasson Randle,PG,TOT,32,34,9,2,137
Julius Randle,PF,LAL,636,264,49,37,975
Zach Randolph,PF,MEM,598,122,38,10,1028
J.J. Redick,SG,LAC,171,110,54,13,1173
Willie Reed,C,MIA,332,26,18,47,374
Josh Richardson,SG,MIA,168,140,60,39,539
Malachi Richardson,SG,SAC,23,11,5,1,79
Austin Rivers,SG,LAC,161,204,48,10,889
Andre Roberson,SF,OKC,403,79,94,79,522
Brian Roberts,PG,CHO,39,52,9,1,142
Glenn Robinson,SF,IND,246,47,41,20,419
Thomas Robinson,PF,LAL,223,31,26,9,241
Sergio Rodriguez,PG,PHI,157,344,49,4,530
Rajon Rondo,PG,CHI,355,461,99,11,538
Derrick Rose,PG,NYK,246,283,44,17,1154
Terrence Ross,SF,TOT,206,88,87,33,858
Terry Rozier,PG,BOS,227,131,46,11,410
Ricky Rubio,PG,MIN,305,682,128,10,836
Damjan Rudez,SF,ORL,25,20,12,1,82
Brandon Rush,SG,MIN,99,45,22,23,197
D'Angelo Russell,PG,LAL,221,303,87,16,984
Domantas Sabonis,PF,OKC,288,82,39,32,479
Larry Sanders,C,CLE,4,0,1,1,4
Dario Saric,PF,PHI,513,182,57,30,1040
Tomas Satoransky,SG,WAS,83,92,26,6,154
Dennis Schroder,PG,ATL,248,499,74,16,1414
Luis Scola,PF,BRK,139,37,14,4,184
Mike Scott,PF,ATL,37,17,4,3,45
Thabo Sefolosha,SF,ATL,270,107,96,31,444
Wayne Selden,SG,TOT,16,13,6,1,71
Kevin Seraphin,PF,IND,142,23,7,20,232
Ramon Sessions,PG,CHO,73,129,27,3,312
Iman Shumpert,SG,CLE,218,109,62,27,567
Pascal Siakam,PF,TOR,185,17,26,45,229
Jonathon Simmons,SG,SAS,160,126,47,25,483
Kyle Singler,SF,OKC,48,9,7,5,88
Marcus Smart,SG,BOS,305,364,125,34,835
Ish Smith,PG,DET,235,418,61,33,758
J.R. Smith,SG,CLE,113,62,40,11,351
Jason Smith,C,WAS,258,37,21,54,420
Tony Snell,SG,MIL,248,96,55,14,683
Marreese Speights,C,LAC,373,65,23,41,711
Tiago Splitter,C,PHI,22,4,1,1,39
Nik Stauskas,SG,PHI,226,188,45,32,756
